SISRecID,count,name_com,name_sci,status
103780103,0,Pagan Reed-warbler,Acrocephalus yamashinae,EX
22708227,0,Cape Rock-thrush,Monticola rupestris,LC
22733672,0,Seram Thrush,Geokichla joiceyi,NT
22681929,0,Brown-chested Barbet,Capito brunneipectus,LC
22735192,0,Dark-backed Sibia,Heterophasia melanoleuca,LC
22696138,0,Cassin's Hawk-eagle,Aquila africana,LC
22698844,0,White-cheeked Tody-flycatcher,Poecilotriccus albifacies,LC
22695678,0,Henst's Goshawk,Accipiter henstii,VU
45426696,0,Choco Parakeet,Pyrrhura pacifica,LC
22716018,0,Falcated Wren-babbler,Ptilocichla falcata,VU
22707008,0,Chestnut-capped Flycatcher,Erythrocercus mccallii,LC
133484158,0,Bahama Hummingbird,Nesophlox evelynae,LC
103693426,0,Rennell Whistler,Pachycephala feminina,NT
22716227,0,Luzon Striped Babbler,Zosterornis striatus,NT
103681893,0,Mouse-colored Tyrannulet,Phaeomyias murina,LC
22712441,0,Chestnut-collared Swallow,Petrochelidon rufocollaris,LC
154797026,0,Ash-bellied Hermit,Phaethornis major,LC
22681703,0,Sladen's Barbet,Gymnobucco sladeni,LC
22729692,0,Western Reef-egret,Egretta gularis,LC
22682719,0,Bare-cheeked Trogon,Apaloderma aequatoriale,LC
22700114,0,Lesser Shrike-tyrant,Agriornis murinus,LC
22716505,0,Bare-cheeked Babbler,Turdoides gymnogenys,LC
22734000,0,Black-faced Ibis,Theristicus melanopis,LC
22704920,0,White-eyed Robin,Pachycephalopsis poliosoma,LC
22735087,0,Blackish-breasted Babbler,Stachyris humei,NT
103821125,0,Chestnut-vented Bulbul,Alophoixus ruficrissus,LC
103872135,0,Benguela Long-tailed Starling,Lamprotornis benguelensis,LC
103776392,0,Pectoral-patch Cisticola,Cisticola brunnescens,LC
22702331,0,Silvery-throated Spinetail,Synallaxis subpudica,LC
22705309,0,Golden-fronted Greenlet,Pachysylvia aurantiifrons,LC
22680726,0,Arrowhead Piculet,Picumnus minutissimus,LC
22691770,0,Collared Imperial-pigeon,Ducula mullerii,LC
22684164,0,Running Coua,Coua cursor,LC
22690000,0,Collared Nightjar,Gactornis enarratus,LC
22692256,0,Nkulengu Rail,Himantornis haematopus,LC
22710537,0,Brown-winged Starling,Aplonis grandis,LC
22723901,0,Black-throated Saltator,Saltator atricollis,LC
22726426,0,Southern Andean Flicker,Colaptes rupicola,LC
22684280,0,Coppery-tailed Coucal,Centropus cupreicaudus,LC
22715521,0,Buff-banded Bushbird,Cincloramphus bivittatus,LC
22709196,0,Gambaga Flycatcher,Muscicapa gambagae,LC
22687041,0,Scaly-breasted Sabrewing,Campylopterus cuvierii,LC
22682748,0,Cuban Trogon,Priotelus temnurus,LC
22707267,0,Spot-winged Monarch,Symposiachrus guttula,LC
22700266,0,Spectacled Tyrant,Hymenops perspicillatus,LC
22681386,0,Powerful Woodpecker,Campephilus pollens,LC
103792746,0,Yellow-chinned Sunbird,Anthreptes rectirostris,LC
22713430,0,Stout Cisticola,Cisticola robustus,LC
22720814,0,Hawaii Creeper,Manucerthia mana,EN
22702968,0,Grey-throated Leaftosser,Sclerurus albigularis,NT
22710087,0,White-capped Water-redstart,Phoenicurus leucocephalus,LC
22681161,0,Strickland's Woodpecker,Leuconotopicus stricklandi,LC
22704342,0,Hawaii Oo,Moho nobilis,EX
22682926,0,Azure Dollarbird,Eurystomus azureus,NT
22712246,0,Dusky Crag Martin,Ptyonoprogne concolor,LC
22709386,0,Palawan Flycatcher,Ficedula platenae,VU
22703046,0,Scimitar-billed Woodcreeper,Drymornis bridgesii,LC
22709101,0,African Forest-flycatcher,Fraseria ocreata,LC
103680766,0,Chico's Tyrannulet,Zimmerius chicomendesi,NT
22710060,0,Hodgson's Redstart,Phoenicurus hodgsoni,LC
22703966,0,Buru Honeyeater,Lichmera deningeri,LC
103887386,0,Sclater's Wren,Campylorhynchus humilis,LC
22686751,0,Fork-tailed Palm-swift,Tachornis squamata,LC
22712365,0,Mosque Swallow,Cecropis senegalensis,LC
22704624,0,New Guinea Thornbill,Acanthiza murina,LC
22693005,0,Crowned Sandgrouse,Pterocles coronatus,LC
22707510,0,Three-streaked Tchagra,Tchagra jamesi,LC
22719543,0,Anambra Waxbill,Estrilda poliopareia,NT
22714362,0,Timor Stubtail,Urosphena subulata,LC
22723478,0,Ruddy-breasted Seedeater,Sporophila minuta,LC
22727848,0,Madagascar Green-pigeon,Treron australis,LC
22720499,0,Spectacled Finch,Callacanthis burtoni,LC
155185342,0,Saffron-billed Sparrow,Arremon flavirostris,LC
22680694,0,Speckled Piculet,Picumnus innominatus,LC
22705846,0,White-bellied Treepie,Dendrocitta leucogastra,LC
22719011,0,Finn's Weaver,Ploceus megarhynchus,EN
22696007,0,Papuan Eagle,Harpyopsis novaeguineae,VU
22679007,0,Painted Bush-quail,Perdicula erythrorhyncha,LC
22713890,0,Barred Wren-warbler,Calamonastes fasciolatus,LC
22733277,0,Chusquea Tapaculo,Scytalopus parkeri,LC
22718536,0,Bush Pipit,Anthus caffer,LC
22683616,0,Giant Kingfisher,Megaceryle maxima,LC
22709840,0,White-headed Robin-chat,Cossypha heinrichi,LC
22731359,0,Streaky Seedeater,Crithagra striolata,LC
22704857,0,Yellow-bellied Robin,Cryptomicroeca flaviventris,LC
22707204,0,Slaty Monarch,Mayrornis lessoni,LC
22694157,0,Australian Pratincole,Stiltia isabella,LC
22711370,0,Merida Wren,Cistothorus meridae,LC
22686931,0,White-whiskered Hermit,Phaethornis yaruqui,LC
22699978,0,Red-rumped Bush-tyrant,Cnemarchus erythropygius,LC
22716621,0,Rufous-throated Fulvetta,Schoeniparus rufogularis,LC
22691460,0,Palau Fruit-dove,Ptilinopus pelewensis,LC
22712619,0,Grey-headed Bulbul,Brachypodius priocephalus,NT
22729474,0,Bahia Antwren,Herpsilochmus pileatus,VU
22710043,0,Blue-capped Redstart,Phoenicurus coeruleocephala,LC
22703580,0,Black-tailed Treecreeper,Climacteris melanurus,LC
22699947,0,Piura Chat-tyrant,Ochthoeca piurae,LC
22702893,0,Streak-capped Treehunter,Thripadectes virgaticeps,LC
22698182,0,Buller's Shearwater,Ardenna bulleri,VU
22716153,0,Green Jery,Neomixis viridis,LC
22729082,0,Western Chat-tanager,Calyptophilus tertius,VU
22698834,0,Rufous-crowned Tody-flycatcher,Poecilotriccus ruficeps,LC
22688033,0,Bronze-tailed Thornbill,Chalcostigma heteropogon,LC
22686835,0,Bradfield's Swift,Apus bradfieldi,LC
