genus,lc_count,vu_count
dendrexetastes,1,0
dendrocincla,6,0
dendrocitta,6,1
dendrocolaptes,4,2
dendrocopos,11,2
dendrocygna,7,1
dendronanthus,1,0
dendroperdix,1,0
dendropicos,15,2
dendroplex,1,1
dendrortyx,2,1
deroptyus,1,0
dessonornis,5,1
devioeca,1,0
diaphorapteryx,1,0
dicaeum,42,7
dichrozona,1,0
dicrurus,20,6
didunculus,0,1
diglossa,16,2
dinemellia,1,0
dinopium,4,1
diomedea,0,6
diopsittaca,2,0
discosura,3,2
diuca,1,0
dives,2,0
dolichonyx,1,0
doliornis,0,2
donacobius,1,0
donacospiza,1,0
doricha,1,1
doryfera,2,0
drepanis,2,1
drepanoptila,0,1
drepanorhynchus,1,0
drepanornis,1,1
dreptes,0,1
dromaius,3,0
dromas,1,0
dromococcyx,2,0
drymocichla,1,0
drymodes,3,0
drymophila,8,3
drymornis,1,0
drymotoxeres,0,1
dryobates,6,0
dryocopus,2,1
dryolimnas,2,0
dryoscopus,6,0
dryotriorchis,1,0
dubusia,3,1
ducula,27,16
dulus,1,0
dumetella,1,0
dumetia,2,0
dyaphorophyia,8,0
dysithamnus,5,3
dysmorodrepanis,1,0
eclectus,3,2
ectopistes,1,0
edolisoma,17,8
egretta,9,3
elachura,1,0
elaenia,20,1
elanoides,1,0
elanus,3,1
elaphrornis,0,1
electron,1,1
eleoscytalopus,0,2
eleothreptus,0,2
elminia,5,0
elseyornis,1,0
elvira,2,0
emarginata,3,0
emberiza,36,8
emberizoides,2,1
embernagra,2,0
emblema,1,0
eminia,1,0
empidonax,15,0
empidonomus,1,0
enicognathus,2,0
enicurus,6,1
enodes,1,0
ensifera,1,0
entomodestes,2,0
entomyzon,2,0
eolophus,1,0
eophona,2,0
eopsaltria,2,0
eos,2,4
ephippiorhynchus,1,1
ephippiospingus,2,0
epimachus,2,0
epinecrophylla,8,1
epthianura,4,0
eremalauda,2,0
eremomela,9,1
eremophila,2,0
eremopterix,8,0
eriocnemis,6,6
erithacus,1,0
erpornis,1,0
erythrocercus,3,0
erythrogenys,6,0
erythrogonys,1,0
erythromachus,1,0
erythropitta,9,9
erythrotriorchis,0,2
erythrura,8,3
esacus,0,2
estrilda,14,2
eubucco,6,1
euchrepomis,3,1
eucometis,1,0
eudocimus,2,0
eudromia,2,0
eudromias,1,0
